query,prediction,predicted_intent,confidence,needs_review,strategy,model,retrieved_examples,latency_ms,input_tokens,output_tokens,total_tokens,estimated_cost_usd,cached,raw_text,true_intent
I'm still waiting for my card.,"intent='card_arrival' confidence=0.95 needs_review=False raw_response='{""intent"":""card_arrival"",""confidence"":0.95,""needs_review"":false}' parsing_error=None",card_arrival,0.95,False,few_shot,openai/gpt-oss-20b,[],5736.021900000196,735,69,804,0.0001608,False,"{""intent"":""card_arrival"",""confidence"":0.95,""needs_review"":false}",card_arrival
Am I supposed to verify my identity?,"intent='why_verify_identity' confidence=0.95 needs_review=False raw_response='{""intent"":""why_verify_identity"",""confidence"":0.95,""needs_review"":false}' parsing_error=None",why_verify_identity,0.95,False,few_shot,openai/gpt-oss-20b,[],5841.6299999998955,709,129,838,0.0001676,False,"{""intent"":""why_verify_identity"",""confidence"":0.95,""needs_review"":false}",why_verify_identity
Explain the activation method for this card,"intent='activate_my_card' confidence=0.99 needs_review=False raw_response='{""intent"":""activate_my_card"",""confidence"":0.99,""needs_review"":false}' parsing_error=None",activate_my_card,0.99,False,few_shot,openai/gpt-oss-20b,[],6711.106599999766,737,72,809,0.0001618,False,"{""intent"":""activate_my_card"",""confidence"":0.99,""needs_review"":false}",activate_my_card
I want to cancel my card. I think someone else is using it.,intent='unknown' confidence=0.0 needs_review=True raw_response='' parsing_error='Empty or whitespace response',unknown,0.0,True,few_shot,openai/gpt-oss-20b,[],6989.859100000103,715,150,865,0.000173,False,,compromised_card
How do I get refills to my card when I'm traveling?,intent='unknown' confidence=0.0 needs_review=True raw_response='' parsing_error='Empty or whitespace response',unknown,0.0,True,few_shot,openai/gpt-oss-20b,[],7458.921100000225,714,150,864,0.0001728,False,,automatic_top_up
Why am I missing my refund,"intent='refund_not_showing_up' confidence=0.95 needs_review=True raw_response='{""intent"":""Refund_not_showing_up"",""confidence"":0.95,""needs_review"":false}' parsing_error=""Intent 'refund_not_showing_up' is not one of the 77 valid BANKING77 intents""",refund_not_showing_up,0.95,True,few_shot,openai/gpt-oss-20b,[],8163.188999999875,736,101,837,0.0001674,False,"{""intent"":""Refund_not_showing_up"",""confidence"":0.95,""needs_review"":false}",Refund_not_showing_up
"No transactions are being accepted, what's wrong with my card?","intent='card_not_working' confidence=0.9 needs_review=False raw_response='{""intent"":""card_not_working"",""confidence"":0.9,""needs_review"":false}' parsing_error=None",card_not_working,0.9,False,few_shot,openai/gpt-oss-20b,[],827.460799999244,740,113,853,0.00017060000000000003,False,"{""intent"":""card_not_working"",""confidence"":0.9,""needs_review"":false}",card_not_working
Can I change my PIN without being physically present?,"intent='change_pin' confidence=0.99 needs_review=False raw_response='{""intent"":""change_pin"",""confidence"":0.99,""needs_review"":false}' parsing_error=None",change_pin,0.99,False,few_shot,openai/gpt-oss-20b,[],5833.3144999996875,739,78,817,0.00016340000000000001,False,"{""intent"":""change_pin"",""confidence"":0.99,""needs_review"":false}",change_pin
What are the requirements to open an account for a minor?,"intent='age_limit' confidence=0.99 needs_review=False raw_response='{""intent"":""age_limit"",""confidence"":0.99,""needs_review"":false}' parsing_error=None",age_limit,0.99,False,few_shot,openai/gpt-oss-20b,[],6870.570000000043,740,80,820,0.00016400000000000003,False,"{""intent"":""age_limit"",""confidence"":0.99,""needs_review"":false}",age_limit
Is there a top-up limit?,"intent='top_up_limits' confidence=0.99 needs_review=False raw_response='{""intent"":""top_up_limits"",""confidence"":0.99,""needs_review"":false}' parsing_error=None",top_up_limits,0.99,False,few_shot,openai/gpt-oss-20b,[],5797.68039999999,736,66,802,0.0001604,False,"{""intent"":""top_up_limits"",""confidence"":0.99,""needs_review"":false}",top_up_limits
Can I use any card and currency?,"intent='supported_cards_and_currencies' confidence=0.95 needs_review=False raw_response='{""intent"":""supported_cards_and_currencies"",""confidence"":0.95,""needs_review"":false}' parsing_error=None",supported_cards_and_currencies,0.95,False,few_shot,openai/gpt-oss-20b,[],1605.9804000005897,737,88,825,0.000165,False,"{""intent"":""supported_cards_and_currencies"",""confidence"":0.95,""needs_review"":false}",supported_cards_and_currencies
I accidentally put in the wrong pin too many times and now I need to unblock it. Can you assist with this?,"intent='pin_blocked' confidence=0.99 needs_review=False raw_response='{""intent"":""pin_blocked"",""confidence"":0.99,""needs_review"":false}' parsing_error=None",pin_blocked,0.99,False,few_shot,openai/gpt-oss-20b,[],2821.497900000395,752,99,851,0.0001702,False,"{""intent"":""pin_blocked"",""confidence"":0.99,""needs_review"":false}",pin_blocked
What do I do to get ahold of my own card?,intent='unknown' confidence=0.0 needs_review=True raw_response='' parsing_error='Empty or whitespace response',unknown,0.0,True,few_shot,openai/gpt-oss-20b,[],7477.168200000051,713,150,863,0.0001726,False,,order_physical_card
"I need to transfer money into my account, HOW?","intent='transfer_into_account' confidence=0.99 needs_review=False raw_response='{""intent"":""transfer_into_account"",""confidence"":0.99,""needs_review"":false}' parsing_error=None",transfer_into_account,0.99,False,few_shot,openai/gpt-oss-20b,[],5658.155699999952,739,84,823,0.00016460000000000002,False,"{""intent"":""transfer_into_account"",""confidence"":0.99,""needs_review"":false}",transfer_into_account
Where can I find the exchange rate for my transfer?,"intent='exchange_rate' confidence=0.9 needs_review=False raw_response='{""intent"":""exchange_rate"",""confidence"":0.9,""needs_review"":false}' parsing_error=None",exchange_rate,0.9,False,few_shot,openai/gpt-oss-20b,[],7145.853400000306,740,102,842,0.00016840000000000003,False,"{""intent"":""exchange_rate"",""confidence"":0.9,""needs_review"":false}",exchange_rate
Why am I charged a fee for withdrawing cash?,"intent='cash_withdrawal_charge' confidence=0.99 needs_review=False raw_response='{""intent"":""cash_withdrawal_charge"",""confidence"":0.99,""needs_review"":false}' parsing_error=None",cash_withdrawal_charge,0.99,False,few_shot,openai/gpt-oss-20b,[],6094.710700000178,739,86,825,0.00016500000000000003,False,"{""intent"":""cash_withdrawal_charge"",""confidence"":0.99,""needs_review"":false}",cash_withdrawal_charge
When will my top up process?,"intent='unknown' confidence=0.0 needs_review=True raw_response='{\n  ""intent"": ""' parsing_error='No JSON structure detected'",unknown,0.0,True,few_shot,openai/gpt-oss-20b,[],6704.538999999386,707,150,857,0.0001714,False,"{
  ""intent"": """,pending_top_up
"Since I got married, I need to change my name.","intent='edit_personal_details' confidence=0.95 needs_review=False raw_response='{""intent"":""edit_personal_details"",""confidence"":0.95,""needs_review"":false}' parsing_error=None",edit_personal_details,0.95,False,few_shot,openai/gpt-oss-20b,[],7255.563300000176,741,96,837,0.00016740000000000003,False,"{""intent"":""edit_personal_details"",""confidence"":0.95,""needs_review"":false}",edit_personal_details
I am on vacation in Spain and need to change my pin.,"intent='change_pin' confidence=0.99 needs_review=False raw_response='{""intent"":""change_pin"",""confidence"":0.99,""needs_review"":false}' parsing_error=None",change_pin,0.99,False,few_shot,openai/gpt-oss-20b,[],2072.232399999848,741,81,822,0.00016440000000000004,False,"{""intent"":""change_pin"",""confidence"":0.99,""needs_review"":false}",change_pin
How many transactions can I do with my disposable card?,"intent='disposable_card_limits' confidence=0.9 needs_review=False raw_response='{""intent"":""disposable_card_limits"",""confidence"":0.9,""needs_review"":false}' parsing_error=None",disposable_card_limits,0.9,False,few_shot,openai/gpt-oss-20b,[],1827.653299999838,740,86,826,0.00016520000000000003,False,"{""intent"":""disposable_card_limits"",""confidence"":0.9,""needs_review"":false}",disposable_card_limits
"I have received my statement but I do not see my refund, why is that?","intent='refund_not_showing_up' confidence=0.9 needs_review=True raw_response='{""intent"":""Refund_not_showing_up"",""confidence"":0.9,""needs_review"":false}' parsing_error=""Intent 'refund_not_showing_up' is not one of the 77 valid BANKING77 intents""",refund_not_showing_up,0.9,True,few_shot,openai/gpt-oss-20b,[],5775.13159999944,745,115,860,0.000172,False,"{""intent"":""Refund_not_showing_up"",""confidence"":0.9,""needs_review"":false}",Refund_not_showing_up
What do I need to do in order to get a new card?,intent='unknown' confidence=0.0 needs_review=True raw_response='' parsing_error='Empty or whitespace response',unknown,0.0,True,few_shot,openai/gpt-oss-20b,[],13493.267000000742,714,150,864,0.0001728,False,,order_physical_card
Tell me more about getting a virtual disposable card.,"intent='get_disposable_virtual_card' confidence=0.99 needs_review=False raw_response='{""intent"":""get_disposable_virtual_card"",""confidence"":0.99,""needs_review"":false}' parsing_error=None",get_disposable_virtual_card,0.99,False,few_shot,openai/gpt-oss-20b,[],6023.882299999968,739,88,827,0.0001654,False,"{""intent"":""get_disposable_virtual_card"",""confidence"":0.99,""needs_review"":false}",get_disposable_virtual_card
I made a transaction at an atm and was charged extra for it.,"intent='cash_withdrawal_charge' confidence=0.9 needs_review=False raw_response='{""intent"":""cash_withdrawal_charge"",""confidence"":0.9,""needs_review"":false}' parsing_error=None",cash_withdrawal_charge,0.9,False,few_shot,openai/gpt-oss-20b,[],6881.546899999194,714,149,863,0.0001726,False,"{""intent"":""cash_withdrawal_charge"",""confidence"":0.9,""needs_review"":false}",cash_withdrawal_charge
My salary is deposited in GBP. Do I need to choose the currency?,intent='unknown' confidence=0.0 needs_review=True raw_response='' parsing_error='Empty or whitespace response',unknown,0.0,True,few_shot,openai/gpt-oss-20b,[],7168.197400000281,715,150,865,0.000173,False,,receiving_money
