query,prediction,predicted_intent,confidence,needs_review,strategy,model,retrieved_examples,latency_ms,input_tokens,output_tokens,total_tokens,estimated_cost_usd,cached,raw_text,true_intent
I'm still waiting for my card.,"intent='card_arrival' confidence=0.95 needs_review=False raw_response='{""intent"":""card_arrival"",""confidence"":0.95,""needs_review"":false}' parsing_error=None",card_arrival,0.95,False,zero_shot,openai/gpt-oss-20b,[],1104.9631999994745,577,100,677,0.0001354,True,"{""intent"":""card_arrival"",""confidence"":0.95,""needs_review"":false}",card_arrival
Am I supposed to verify my identity?,"intent='why_verify_identity' confidence=0.95 needs_review=False raw_response='{""intent"":""why_verify_identity"",""confidence"":0.95,""needs_review"":false}' parsing_error=None",why_verify_identity,0.95,False,zero_shot,openai/gpt-oss-20b,[],657.776200000626,574,142,716,0.0001432,False,"{""intent"":""why_verify_identity"",""confidence"":0.95,""needs_review"":false}",why_verify_identity
Explain the activation method for this card,"intent='activate_my_card' confidence=0.95 needs_review=False raw_response='{""intent"":""activate_my_card"",""confidence"":0.95,""needs_review"":false}' parsing_error=None",activate_my_card,0.95,False,zero_shot,openai/gpt-oss-20b,[],688.7752000002365,579,81,660,0.000132,True,"{""intent"":""activate_my_card"",""confidence"":0.95,""needs_review"":false}",activate_my_card
I want to cancel my card. I think someone else is using it.,"intent='unknown' confidence=0.0 needs_review=True raw_response='{""intent"":""' parsing_error='No JSON structure detected'",unknown,0.0,True,zero_shot,openai/gpt-oss-20b,[],685.4553000002852,580,150,730,0.000146,False,"{""intent"":""",compromised_card
How do I get refills to my card when I'm traveling?,intent='unknown' confidence=0.0 needs_review=True raw_response='' parsing_error='Empty or whitespace response',unknown,0.0,True,zero_shot,openai/gpt-oss-20b,[],601.8412000003082,579,150,729,0.0001458,False,,automatic_top_up
Why am I missing my refund,"intent='refund_not_showing_up' confidence=0.95 needs_review=True raw_response='{""intent"":""Refund_not_showing_up"",""confidence"":0.95,""needs_review"":false}' parsing_error=""Intent 'refund_not_showing_up' is not one of the 77 valid BANKING77 intents""",refund_not_showing_up,0.95,True,zero_shot,openai/gpt-oss-20b,[],867.6156999999876,578,112,690,0.000138,True,"{""intent"":""Refund_not_showing_up"",""confidence"":0.95,""needs_review"":false}",Refund_not_showing_up
"No transactions are being accepted, what's wrong with my card?","intent='card_not_working' confidence=0.95 needs_review=False raw_response='{""intent"":""card_not_working"",""confidence"":0.95,""needs_review"":false}' parsing_error=None",card_not_working,0.95,False,zero_shot,openai/gpt-oss-20b,[],856.729300000552,582,118,700,0.00014000000000000001,True,"{""intent"":""card_not_working"",""confidence"":0.95,""needs_review"":false}",card_not_working
Can I change my PIN without being physically present?,"intent='change_pin' confidence=0.99 needs_review=False raw_response='{""intent"":""change_pin"",""confidence"":0.99,""needs_review"":false}' parsing_error=None",change_pin,0.99,False,zero_shot,openai/gpt-oss-20b,[],524.1387000005489,581,82,663,0.0001326,True,"{""intent"":""change_pin"",""confidence"":0.99,""needs_review"":false}",change_pin
What are the requirements to open an account for a minor?,"intent='age_limit' confidence=0.99 needs_review=False raw_response='{""intent"":""age_limit"",""confidence"":0.99,""needs_review"":false}' parsing_error=None",age_limit,0.99,False,zero_shot,openai/gpt-oss-20b,[],568.757099999857,582,80,662,0.00013240000000000002,True,"{""intent"":""age_limit"",""confidence"":0.99,""needs_review"":false}",age_limit
Is there a top-up limit?,"intent='top_up_limits' confidence=0.99 needs_review=False raw_response='{""intent"":""top_up_limits"",""confidence"":0.99,""needs_review"":false}' parsing_error=None",top_up_limits,0.99,False,zero_shot,openai/gpt-oss-20b,[],2743.659900000239,578,81,659,0.0001318,True,"{""intent"":""top_up_limits"",""confidence"":0.99,""needs_review"":false}",top_up_limits
Can I use any card and currency?,"intent='supported_cards_and_currencies' confidence=0.95 needs_review=False raw_response='{""intent"":""supported_cards_and_currencies"",""confidence"":0.95,""needs_review"":false}' parsing_error=None",supported_cards_and_currencies,0.95,False,zero_shot,openai/gpt-oss-20b,[],4989.80389999997,579,99,678,0.0001356,True,"{""intent"":""supported_cards_and_currencies"",""confidence"":0.95,""needs_review"":false}",supported_cards_and_currencies
I accidentally put in the wrong pin too many times and now I need to unblock it. Can you assist with this?,"intent='pin_blocked' confidence=0.99 needs_review=False raw_response='{""intent"":""pin_blocked"",""confidence"":0.99,""needs_review"":false}' parsing_error=None",pin_blocked,0.99,False,zero_shot,openai/gpt-oss-20b,[],4819.333400000687,594,96,690,0.00013800000000000002,True,"{""intent"":""pin_blocked"",""confidence"":0.99,""needs_review"":false}",pin_blocked
What do I do to get ahold of my own card?,intent='unknown' confidence=0.0 needs_review=True raw_response='' parsing_error='Empty or whitespace response',unknown,0.0,True,zero_shot,openai/gpt-oss-20b,[],5791.901399999915,578,150,728,0.0001456,False,,order_physical_card
"I need to transfer money into my account, HOW?","intent='transfer_into_account' confidence=0.95 needs_review=False raw_response='{""intent"":""transfer_into_account"",""confidence"":0.95,""needs_review"":false}' parsing_error=None",transfer_into_account,0.95,False,zero_shot,openai/gpt-oss-20b,[],6151.222500000586,604,130,734,0.00014680000000000002,False,"{""intent"":""transfer_into_account"",""confidence"":0.95,""needs_review"":false}",transfer_into_account
