text,category,orig_idx
"For adding money, which currencies do you accept?",supported_cards_and_currencies,2970
What's my limit for topping up?,top_up_limits,2323
When will my returned transaction show up on my account?,Refund_not_showing_up,5700
Which credit card top-ups do you accept?,supported_cards_and_currencies,2932
I tried to make a transfer but it failed. will you tell me why?,failed_transfer,7445
Can you tell me why the transfer isn't showing up on my account?,balance_not_updated_after_bank_transfer,8772
I did not get the right amount of cash from the ATM.,wrong_amount_of_cash_received,2386
My cash withdrawal was not entirely complete,wrong_amount_of_cash_received,2476
Why am I not allowed to add a certain beneficiary?,beneficiary_not_allowed,7023
I had an unexpected fee,transfer_fee_charged,7237
How do I find the refund on my statement?,Refund_not_showing_up,5802
i do not know what this charge is for,direct_debit_payment_not_recognised,4702
i transfered and yet it is still pending,pending_transfer,6062
Is it possible to dispute a debit payment from a couple of months ago.,direct_debit_payment_not_recognised,4644
How do i top up my google pay?,apple_pay_or_google_pay,9714
"My transfer is still pending, why?",pending_transfer,6048
Help!  My card is stolen.,lost_or_stolen_card,1514
I can't get the top-up to work! What's going on here.,top_up_failed,8527
"My money is gone. I had topped up recently and saw it was there and went through, but now it's disappeared, what is happening?",top_up_reverted,3198
What documents do you need to verify my identity?,verify_my_identity,9854
If I want my son to have his own account is that possible?,age_limit,1578
It appears my top-up is still pending.,pending_top_up,1938
The wrong exchange rate applied to my cash withdrawal.,wrong_exchange_rate_for_cash_withdrawal,8261
My preference is Mastercard.,visa_or_mastercard,4138
Can I choose from either Visa or Mastercard?,visa_or_mastercard,4132
I haven't yet received money that I transferred,balance_not_updated_after_bank_transfer,8700
Do you take SWIFT transfers?,top_up_by_bank_transfer_charge,1897
What do I do if I already had a card with you guys?,card_linking,287
There is a refund missing.,Refund_not_showing_up,5701
I sent some money and the account hasn't recived the transfer I made.,transfer_not_received_by_recipient,2840
how to get new card after atm eats it,card_swallowed,6294
"Hi,  My money has not been credited to my account for which i have sent you cheque few days before. I am worried about the money please let me know the status.",balance_not_updated_after_cheque_or_cash_deposit,3387
I was spending cash with my card and got a fee.,card_payment_fee_charged,2603
My credit card for was not approved for a top-up transaction.  What happened?,top_up_failed,8488
Can you tell me how to get my card on the app?,card_linking,270
I have an unfamiliar direct debit in my statement.,direct_debit_payment_not_recognised,4761
"I need your help to get a refund for an item I just bought, can you cancel the payment since what I bought hasn't arrived yet.",request_refund,5438
What age do you have to be to open an account?,age_limit,1633
I paid with my card so so why was I charged a transaction fee?,card_payment_fee_charged,2516
I want to activate the card.,activate_my_card,9309
