query,prediction,predicted_intent,confidence,needs_review,strategy,model,retrieved_examples,latency_ms,input_tokens,output_tokens,total_tokens,estimated_cost_usd,cached,raw_text,true_intent
I'm still waiting for my card.,"intent='card_arrival' confidence=0.95 needs_review=False raw_response='{""intent"":""card_arrival"",""confidence"":0.95,""needs_review"":false}' parsing_error=None",card_arrival,0.95,False,one_shot,openai/gpt-oss-20b,[],5812.642500000038,619,73,692,0.0001384,False,"{""intent"":""card_arrival"",""confidence"":0.95,""needs_review"":false}",card_arrival
Am I supposed to verify my identity?,intent='unknown' confidence=0.0 needs_review=True raw_response='' parsing_error='Empty or whitespace response',unknown,0.0,True,one_shot,openai/gpt-oss-20b,[],4655.535699999746,593,150,743,0.0001486,False,,why_verify_identity
Explain the activation method for this card,"intent='activate_my_card' confidence=0.99 needs_review=False raw_response='{""intent"":""activate_my_card"",""confidence"":0.99,""needs_review"":false}' parsing_error=None",activate_my_card,0.99,False,one_shot,openai/gpt-oss-20b,[],6566.065300000446,621,75,696,0.00013920000000000002,False,"{""intent"":""activate_my_card"",""confidence"":0.99,""needs_review"":false}",activate_my_card
I want to cancel my card. I think someone else is using it.,"intent='compromised_card' confidence=0.95 needs_review=False raw_response='{""intent"":""compromised_card"",""confidence"":0.95,""needs_review"":false}' parsing_error=None",compromised_card,0.95,False,one_shot,openai/gpt-oss-20b,[],5251.621000000341,627,144,771,0.00015419999999999998,False,"{""intent"":""compromised_card"",""confidence"":0.95,""needs_review"":false}",compromised_card
How do I get refills to my card when I'm traveling?,intent='unknown' confidence=0.0 needs_review=True raw_response='' parsing_error='Empty or whitespace response',unknown,0.0,True,one_shot,openai/gpt-oss-20b,[],4700.1061999999365,598,150,748,0.0001496,False,,automatic_top_up
Why am I missing my refund,"intent='refund_not_showing_up' confidence=0.9 needs_review=True raw_response='{""intent"":""Refund_not_showing_up"",""confidence"":0.9,""needs_review"":false}' parsing_error=""Intent 'refund_not_showing_up' is not one of the 77 valid BANKING77 intents""",refund_not_showing_up,0.9,True,one_shot,openai/gpt-oss-20b,[],7569.54979999955,620,98,718,0.00014360000000000002,False,"{""intent"":""Refund_not_showing_up"",""confidence"":0.9,""needs_review"":false}",Refund_not_showing_up
"No transactions are being accepted, what's wrong with my card?","intent='card_not_working' confidence=0.9 needs_review=False raw_response='{""intent"":""card_not_working"",""confidence"":0.9,""needs_review"":false}' parsing_error=None",card_not_working,0.9,False,one_shot,openai/gpt-oss-20b,[],655.7798000003459,624,146,770,0.000154,False,"{""intent"":""card_not_working"",""confidence"":0.9,""needs_review"":false}",card_not_working
Can I change my PIN without being physically present?,"intent='change_pin' confidence=0.9 needs_review=False raw_response='{""intent"":""change_pin"",""confidence"":0.9,""needs_review"":false}' parsing_error=None",change_pin,0.9,False,one_shot,openai/gpt-oss-20b,[],5677.804699999797,623,79,702,0.0001404,False,"{""intent"":""change_pin"",""confidence"":0.9,""needs_review"":false}",change_pin
What are the requirements to open an account for a minor?,"intent='age_limit' confidence=0.9 needs_review=False raw_response='{""intent"":""age_limit"",""confidence"":0.9,""needs_review"":false}' parsing_error=None",age_limit,0.9,False,one_shot,openai/gpt-oss-20b,[],4665.640000000167,624,107,731,0.0001462,False,"{""intent"":""age_limit"",""confidence"":0.9,""needs_review"":false}",age_limit
Is there a top-up limit?,"intent='top_up_limits' confidence=0.95 needs_review=False raw_response='{""intent"":""top_up_limits"",""confidence"":0.95,""needs_review"":false}' parsing_error=None",top_up_limits,0.95,False,one_shot,openai/gpt-oss-20b,[],5941.47410000005,620,72,692,0.0001384,False,"{""intent"":""top_up_limits"",""confidence"":0.95,""needs_review"":false}",top_up_limits
